seed,ablation_mode,description,n_channels,best_epoch,best_monitor,best_metric,val_loss,val_rmse,val_mae,val_spearman,test_loss,test_rmse,test_mae,test_spearman
42,full,Use all A1 relation tensor channels.,36,18,val_rmse,1.1637792587280273,0.3423568109671275,1.1637792587280273,0.8946676254272461,0.4547013333096172,0.36017949382464093,1.2877531051635742,0.9990559220314026,0.1768905063783373
42,diag_only,Only keep diagonal residue-level physicochemical and terminal channels.,15,8,val_rmse,1.163550853729248,0.34768662850062054,1.163550853729248,0.9123997688293457,0.4684011618451501,0.28313008447488147,1.1500499248504639,0.8996215462684631,0.37890611336590235
42,pair_only,Only keep off-diagonal pairwise relation channels.,18,11,val_rmse,1.1672207117080688,0.3677818477153778,1.1672207117080688,0.9140623807907104,0.43650488161491185,0.2925675908724467,1.1465290784835815,0.9289587736129761,0.44472827805386517
42,no_terminal,Remove all terminal-related and heuristic terminal channels.,28,12,val_rmse,1.162088394165039,0.3490975697835286,1.162088394165039,0.924725353717804,0.5042166778250172,0.32036302983760834,1.2051682472229004,0.931761622428894,0.29670714215270466
42,no_ace_heuristic,Remove ACE-inspired heuristic channels only.,33,18,val_rmse,1.140772819519043,0.3202011287212372,1.140772819519043,0.8617454767227173,0.5642649684175447,0.3196783860524495,1.2732149362564087,0.9521511793136597,0.3164607901943607
42,no_pair_physchem,Remove pairwise physicochemical sum/diff/compatibility channels.,23,15,val_rmse,1.1889878511428833,0.3592985272407532,1.1889878511428833,0.9295927882194519,0.4695909298405731,0.3056822468837102,1.1926575899124146,0.9398154020309448,0.3575252826246236
42,no_pairwise,Remove all channels whose names start with pair_.,18,15,val_rmse,1.1576859951019287,0.3242018719514211,1.1576859951019287,0.8887351155281067,0.5188788187097894,0.3228912949562073,1.2402775287628174,0.9713592529296875,0.2761486510553212
52,full,Use all A1 relation tensor channels.,36,4,val_rmse,1.1424304246902466,0.2563784544666608,1.1424304246902466,0.8655755519866943,0.39996850643212256,0.2419695978363355,1.0801424980163574,0.806196391582489,0.6372488126281591
52,diag_only,Only keep diagonal residue-level physicochemical and terminal channels.,15,3,val_rmse,1.1114252805709839,0.2728084201614062,1.1114252805709839,0.8779364228248596,0.4370609488484,0.2817645122607549,1.0712519884109497,0.8297590017318726,0.6043724358420108
52,pair_only,Only keep off-diagonal pairwise relation channels.,18,17,val_rmse,1.1530476808547974,0.27166470388571423,1.1530476808547974,0.9059772491455078,0.42773534893902454,0.29364397128423053,1.1623756885528564,0.8685109615325928,0.4765762378398672
52,no_terminal,Remove all terminal-related and heuristic terminal channels.,28,2,val_rmse,1.1356195211410522,0.3161294062932332,1.1356195211410522,0.9383248686790466,0.24682220998416246,0.31315794090429944,1.1788692474365234,0.9368228316307068,0.5203880778997477
52,no_ace_heuristic,Remove ACE-inspired heuristic channels only.,33,4,val_rmse,1.1124950647354126,0.2649821937084198,1.1124950647354126,0.8800660371780396,0.43366664043860853,0.2664034813642502,1.0661014318466187,0.8316152691841125,0.6158153046116441
52,no_pair_physchem,Remove pairwise physicochemical sum/diff/compatibility channels.,23,2,val_rmse,1.1006032228469849,0.2857467383146286,1.1006032228469849,0.9093302488327026,0.3485814765374969,0.3080059190591176,1.163461685180664,0.9230417609214783,0.6081867254318887
52,no_pairwise,Remove all channels whose names start with pair_.,18,6,val_rmse,1.1299508810043335,0.27940110862255096,1.1299508810043335,0.9076011776924133,0.3628235747105393,0.2572159518798192,1.0813260078430176,0.8136855363845825,0.5696938947083513
62,full,Use all A1 relation tensor channels.,36,1,val_rmse,1.0315985679626465,0.3368576467037201,1.0315985679626465,0.8130956292152405,0.2501640290886478,0.3510773479938507,1.1248356103897095,0.9238648414611816,0.2618212358850052
62,diag_only,Only keep diagonal residue-level physicochemical and terminal channels.,15,7,val_rmse,0.999918520450592,0.27485041817029315,0.999918520450592,0.7342563271522522,0.3660954080746165,0.2895492712656657,1.0087970495224,0.7981417775154114,0.4728144384737033
62,pair_only,Only keep off-diagonal pairwise relation channels.,18,8,val_rmse,1.0655947923660278,0.3006881574789683,1.0655947923660278,0.7863439321517944,0.2853493600788053,0.26486192643642426,1.0193449258804321,0.7479579448699951,0.45839712369361474
62,no_terminal,Remove all terminal-related and heuristic terminal channels.,28,4,val_rmse,1.0485806465148926,0.30281465252240497,1.0485806465148926,0.7833976745605469,0.31253882022734064,0.26985523104667664,0.9677186608314514,0.7307161688804626,0.5527570491899949
62,no_ace_heuristic,Remove ACE-inspired heuristic channels only.,33,6,val_rmse,1.0054566860198975,0.2790889044602712,1.0054566860198975,0.7239145636558533,0.32898546922323724,0.27520452439785004,0.987507164478302,0.7468063831329346,0.48805410009197636
62,no_pair_physchem,Remove pairwise physicochemical sum/diff/compatibility channels.,23,2,val_rmse,1.0179033279418945,0.3195654849211375,1.0179033279418945,0.7668466567993164,0.32846057617017665,0.31379689772923786,1.0585427284240723,0.8381749391555786,0.43446158168006976
62,no_pairwise,Remove all channels whose names start with pair_.,18,5,val_rmse,0.9924794435501099,0.3065462311108907,0.9924794435501099,0.7454593181610107,0.4100639494859868,0.2986973226070404,1.039430022239685,0.7807681560516357,0.44583446348475125
