seed,variant,epoch,train_loss,val_loss,val_rmse,val_mae,val_spearman
62,DiagAllPairResidualGate,1,47.066445214407786,19.8628511428833,2.171391725540161,1.9434195756912231,-0.246384799106612
62,DiagAllPairResidualGate,2,15.672627403622581,8.964876254399618,1.284104824066162,0.9866788387298584,-0.14609523310184708
62,DiagAllPairResidualGate,3,11.67551649184454,7.45678448677063,1.065031886100769,0.8547636866569519,0.042323876511780614
62,DiagAllPairResidualGate,4,11.466750099545433,6.9363029797871905,1.0388716459274292,0.8120306134223938,0.14903463419898602
62,DiagAllPairResidualGate,5,10.994076297396706,6.867863178253174,1.0276484489440918,0.8063646554946899,0.1931256506560704
62,DiagAllPairResidualGate,6,11.009187312353225,7.002285162607829,1.027978539466858,0.8166531324386597,0.21434882643481779
62,DiagAllPairResidualGate,7,10.618691989353724,6.727361440658569,1.0248850584030151,0.7934123873710632,0.23508210203070867
62,DiagAllPairResidualGate,8,10.596005348932175,6.849293947219849,1.0299729108810425,0.7984839081764221,0.2418707188502915
62,DiagAllPairResidualGate,9,10.021066574823289,6.809579849243164,1.0323686599731445,0.7969622611999512,0.21888040312624035
62,DiagAllPairResidualGate,10,10.230816931951614,6.675122976303101,1.02454674243927,0.7853715419769287,0.24313046217763673
62,DiagAllPairResidualGate,11,9.76003342583066,6.646957953770955,1.0309938192367554,0.7815309166908264,0.25943713969271714
62,DiagAllPairResidualGate,12,9.99253188996088,6.576282262802124,1.0208340883255005,0.7780613899230957,0.27084481537923266
62,DiagAllPairResidualGate,13,10.0093172618321,6.545106013615926,1.017026662826538,0.7761972546577454,0.2901258868616561
62,DiagAllPairResidualGate,14,9.61691395441691,6.590952634811401,1.0284488201141357,0.773618757724762,0.2829348520347268
62,DiagAllPairResidualGate,15,9.58872043518793,6.465256770451863,1.0132031440734863,0.7669218182563782,0.2852093885979891
62,DiagAllPairResidualGate,16,9.757345131465367,6.868720134099324,1.056593894958496,0.8095036745071411,0.2874489322910474
62,DiagAllPairResidualGate,17,9.870823088146391,6.702152331670125,1.040725827217102,0.7915043830871582,0.2746765346665745
62,DiagAllPairResidualGate,18,9.959219932556152,6.521023193995158,1.0236639976501465,0.77021723985672,0.2746765346665745
62,DiagAllPairResidualGate,19,9.223497958410354,6.651337782541911,1.049256443977356,0.7727643847465515,0.2762512138257561
62,DiagAllPairResidualGate,20,9.561632724035354,6.564893881479899,1.0338866710662842,0.7701244950294495,0.2892860579767592
62,DiagAllPairResidualGate,21,9.373064063844227,6.539209206899007,1.0357367992401123,0.7694531083106995,0.3058551820183699
62,DiagAllPairResidualGate,22,9.231867290678478,6.596060752868652,1.0509122610092163,0.7686226963996887,0.29946898320613347
62,DiagAllPairResidualGate,23,9.392804259345645,6.595192909240723,1.0335804224014282,0.7766634225845337,0.2739591808273918
62,DiagAllPairResidualGate,24,9.593157359531947,6.523284991582234,1.0288171768188477,0.7645339965820312,0.28562930304043754
62,DiagAllPairResidualGate,25,8.994153545016335,6.695170879364014,1.05377995967865,0.7744370698928833,0.28365220587390955
