feature_set,model,split,n_features,rmse,mae,spearman,params
None,MeanPredictor,val,0,1.193038336840466,1.0153770535795819,0.0,"{""mean_value"": 4.073465432205669}"
None,MeanPredictor,test,0,1.3033680806034327,1.072998449682688,0.0,"{""mean_value"": 4.073465432205669}"
SeqOnly,SeqOnly-Ridge,val,130,1.1624942229595963,0.9613389974288848,0.3269033934460971,"{""alpha"": 1.0}"
SeqOnly,SeqOnly-Ridge,test,130,1.133854173002712,0.8999923386768438,0.4998469036863692,"{""alpha"": 1.0}"
SeqOnly,SeqOnly-SVR,val,130,1.1538715054031534,0.9143624010674098,0.3870211444566296,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
SeqOnly,SeqOnly-SVR,test,130,1.1173920904310188,0.8562691809686007,0.5512523294435294,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
SeqOnly,SeqOnly-CatBoost,val,130,1.1601342401718013,0.9410128355486113,0.33348205304445566,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
SeqOnly,SeqOnly-CatBoost,test,130,1.1228556134651315,0.8661694639310678,0.4404279704422181,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
PhysChemOnly,PhysChemOnly-Ridge,val,22,1.1852920426143947,1.0010193285212818,0.17693323901690372,"{""alpha"": 1.0}"
PhysChemOnly,PhysChemOnly-Ridge,test,22,1.1834008119797184,0.9368682701385899,0.38932339515696424,"{""alpha"": 1.0}"
PhysChemOnly,PhysChemOnly-SVR,val,22,1.2391766838663538,1.0278861474155638,0.16190159584381383,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
PhysChemOnly,PhysChemOnly-SVR,test,22,1.1673559158776394,0.9135714155149163,0.4214826868876056,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
PhysChemOnly,PhysChemOnly-CatBoost,val,22,1.2523822650811385,1.0496231574987132,0.21238287729303576,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
PhysChemOnly,PhysChemOnly-CatBoost,test,22,1.1952748477024755,0.9289473385696504,0.3406820289920116,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
Descriptor,Descriptor-Ridge,val,82,1.1942903511130125,0.9720554622438405,0.2637587591629155,"{""alpha"": 1.0}"
Descriptor,Descriptor-Ridge,test,82,1.1189716043275226,0.8776150626499684,0.5375698777954357,"{""alpha"": 1.0}"
Descriptor,Descriptor-SVR,val,82,1.194269957978165,0.9931639120289656,0.31267879170815677,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
Descriptor,Descriptor-SVR,test,82,1.1462723578518241,0.9076263800884143,0.46114411206797634,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
Descriptor,Descriptor-CatBoost,val,82,1.2577063287811843,1.0422733753010471,0.1819629250609832,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
Descriptor,Descriptor-CatBoost,test,82,1.1587050791554372,0.8789530341007556,0.3745877331637314,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
A1FlatFull,A1FlatFull-Ridge,val,906,1.1799650186818593,0.9417546452099568,0.3528331102672872,"{""alpha"": 1.0}"
A1FlatFull,A1FlatFull-Ridge,test,906,1.1185987933518065,0.8695253733600332,0.5063032012031807,"{""alpha"": 1.0}"
A1FlatFull,A1FlatFull-SVR,val,906,1.1256228771508896,0.872065696320555,0.426213159085149,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
A1FlatFull,A1FlatFull-SVR,test,906,1.0435630820117785,0.7800555105042999,0.6289553572813608,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
A1FlatFull,A1FlatFull-CatBoost,val,906,1.154791447504868,0.9542038897560017,0.39631175149580095,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
A1FlatFull,A1FlatFull-CatBoost,test,906,1.1226506678883998,0.8213077154397697,0.4272179308075496,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}"
