seed,model,model_group,feature_set,n_features,test_rmse,test_mae,test_spearman
42,PhysChemOnly-SVR,traditional_or_flat_baseline,PhysChemOnly,22,1.128758300326295,0.8708319010587662,0.4813661336776276
42,A1-DiagCorePairLite,neural_a1_lite,diag_core_pair_lite,23,1.1316733360290527,0.8873128294944763,0.4314833608106998
42,A1-DiagLite,neural_a1_lite,diag_lite,15,1.1500699520111084,0.899658203125,0.3789061133659023
42,SeqOnly-SVR,traditional_or_flat_baseline,SeqOnly,130,1.153327795385843,0.8931778631145451,0.4282814851759585
42,A1FlatFull-SVR,traditional_or_flat_baseline,A1FlatFull,906,1.1571268738906346,0.9051046586667524,0.4061133079671203
42,SeqOnly-CatBoost,traditional_or_flat_baseline,SeqOnly,130,1.1624967283960392,0.9396719515082907,0.3737796130326825
42,PhysChemOnly-CatBoost,traditional_or_flat_baseline,PhysChemOnly,22,1.1675040385709057,0.9416405982676744,0.3759032771683026
42,Descriptor-SVR,traditional_or_flat_baseline,Descriptor,82,1.180789569764338,0.9349351967577708,0.4055009273812408
42,Descriptor-CatBoost,traditional_or_flat_baseline,Descriptor,82,1.1946323525527909,0.9535088978182036,0.3092696924573185
42,A1FlatFull-CatBoost,traditional_or_flat_baseline,A1FlatFull,906,1.2075790071476786,0.966257588350975,0.2590544844151989
42,MeanPredictor,traditional_or_flat_baseline,,0,1.2605591133709553,1.030979605404609,0.0
42,A1-DiagPairNoHeur,neural_a1_lite,diag_pair_no_heur,33,1.273377537727356,0.9521610736846924,0.3162508311363449
42,A1-Full,neural_a1_lite,full,36,1.287861466407776,0.9991623759269714,0.1768905063783373
52,A1FlatFull-SVR,traditional_or_flat_baseline,A1FlatFull,906,1.0435630820117785,0.7800555105042999,0.6289553572813608
52,A1-DiagPairNoHeur,neural_a1_lite,diag_pair_no_heur,33,1.0660815238952637,0.8315834999084473,0.6158153046116441
52,A1-DiagLite,neural_a1_lite,diag_lite,15,1.0712566375732422,0.8297615647315979,0.6043724358420108
52,A1-Full,neural_a1_lite,full,36,1.0801578760147097,0.8062092661857605,0.6375987474529188
52,A1-DiagCorePairLite,neural_a1_lite,diag_core_pair_lite,23,1.0890105962753296,0.8411340713500977,0.6328746273186665
52,SeqOnly-SVR,traditional_or_flat_baseline,SeqOnly,130,1.1173920904310188,0.8562691809686007,0.5512523294435294
52,A1FlatFull-CatBoost,traditional_or_flat_baseline,A1FlatFull,906,1.1226506678883998,0.8213077154397697,0.4272179308075496
52,SeqOnly-CatBoost,traditional_or_flat_baseline,SeqOnly,130,1.1228556134651315,0.8661694639310678,0.4404279704422181
52,Descriptor-SVR,traditional_or_flat_baseline,Descriptor,82,1.146272357851824,0.9076263800884145,0.4611441120679763
52,Descriptor-CatBoost,traditional_or_flat_baseline,Descriptor,82,1.1587050791554372,0.8789530341007556,0.3745877331637314
52,PhysChemOnly-SVR,traditional_or_flat_baseline,PhysChemOnly,22,1.1673559158776394,0.9135714155149164,0.4214826868876056
52,PhysChemOnly-CatBoost,traditional_or_flat_baseline,PhysChemOnly,22,1.1952748477024755,0.9289473385696504,0.3406820289920116
52,MeanPredictor,traditional_or_flat_baseline,,0,1.303368080603433,1.072998449682688,0.0
62,A1-DiagPairNoHeur,neural_a1_lite,diag_pair_no_heur,33,0.9875262975692748,0.7468214631080627,0.4880541000919763
62,A1-DiagLite,neural_a1_lite,diag_lite,15,1.0087519884109497,0.7981048822402954,0.4728144384737033
62,A1FlatFull-SVR,traditional_or_flat_baseline,A1FlatFull,906,1.00915491614858,0.7423366593084383,0.4592019737905614
62,A1FlatFull-CatBoost,traditional_or_flat_baseline,A1FlatFull,906,1.0138973052403952,0.76349326609275,0.4000104981825039
62,SeqOnly-CatBoost,traditional_or_flat_baseline,SeqOnly,130,1.037962865175692,0.8104519519458183,0.3771247606432372
62,Descriptor-SVR,traditional_or_flat_baseline,Descriptor,82,1.053898515518996,0.8535688226942545,0.3707559468326156
62,A1-DiagCorePairLite,neural_a1_lite,diag_core_pair_lite,23,1.0583785772323608,0.8445665240287781,0.4149527151997316
62,Descriptor-CatBoost,traditional_or_flat_baseline,Descriptor,82,1.0604759010673417,0.8048833729935753,0.4009378254681164
62,SeqOnly-SVR,traditional_or_flat_baseline,SeqOnly,130,1.0605005776564869,0.8371779337821377,0.3693737042748159
62,PhysChemOnly-CatBoost,traditional_or_flat_baseline,PhysChemOnly,22,1.0790421279192632,0.8327762378347998,0.3726903695408735
62,A1-Full,neural_a1_lite,full,36,1.1248290538787842,0.9238587617874146,0.2618212358850052
62,PhysChemOnly-SVR,traditional_or_flat_baseline,PhysChemOnly,22,1.1481254438717994,0.9052946282806152,0.2279885218365061
62,MeanPredictor,traditional_or_flat_baseline,,0,1.1632771185479185,0.9477667464887392,0.0
