model,model_group,feature_set,n_features,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_spearman_mean,test_spearman_std
A1FlatFull-SVR,traditional_or_flat_baseline,A1FlatFull,906,1.0699482906836644,0.07743422690902461,0.8091656094931635,0.08519920070712585,0.4980902130130141,0.11639959664023594
A1-DiagLite,neural_a1_lite,diag_lite,15,1.0766928593317668,0.07081564861864813,0.8425082166989645,0.05196274721337222,0.48536432922720546,0.1132558628114623
A1-DiagCorePairLite,neural_a1_lite,diag_core_pair_lite,23,1.0930208365122478,0.03681157340884332,0.8576711416244507,0.02572776083699986,0.493103567776366,0.12132715019838654
SeqOnly-CatBoost,traditional_or_flat_baseline,SeqOnly,130,1.1077717356789543,0.06362242764110225,0.8720977891283922,0.06481366253703975,0.3971107813727126,0.03755105397717307
A1-DiagPairNoHeur,neural_a1_lite,diag_pair_no_heur,33,1.1089951197306316,0.14767841888921757,0.8435220122337341,0.10318907391456833,0.4733734119466551,0.1503208581516499
SeqOnly-SVR,traditional_or_flat_baseline,SeqOnly,130,1.1104068211577829,0.04680618098027259,0.8622083259550944,0.028468458048981155,0.4496358396314346,0.09280067302543087
A1FlatFull-CatBoost,traditional_or_flat_baseline,A1FlatFull,906,1.1147089934254912,0.09708477253607574,0.8503528566278314,0.10445600875576838,0.3620943044684175,0.0902660760472136
Descriptor-SVR,traditional_or_flat_baseline,Descriptor,82,1.1269868143783859,0.06560704270254071,0.8987101331801467,0.041409495303105476,0.41246699542727755,0.04559495237052263
Descriptor-CatBoost,traditional_or_flat_baseline,Descriptor,82,1.1379377775918567,0.06944745480913213,0.8791151016375115,0.07431289495615082,0.3615984170297221,0.04719431536364585
PhysChemOnly-CatBoost,traditional_or_flat_baseline,PhysChemOnly,22,1.1472736713975482,0.06069977021395829,0.9011213915573748,0.05952793242220147,0.36309189190039587,0.01947388406392087
PhysChemOnly-SVR,traditional_or_flat_baseline,PhysChemOnly,22,1.1480798866919113,0.019298848104351306,0.8965659816180992,0.022667343876293853,0.3769457808005798,0.13243000244820255
A1-Full,neural_a1_lite,full,36,1.16428279876709,0.10932814758709816,0.9097434679667155,0.09724791401071001,0.3587701632387537,0.2451781836436319
