model,split,rmse,mae,spearman,params,seed
MeanPredictor,val,1.350554679922214,1.175885683481381,0.0,"{""mean_value"": 4.089875582176812}",42
MeanPredictor,test,1.2605591133709553,1.030979605404609,0.0,"{""mean_value"": 4.089875582176812}",42
Ridge,val,1.1896018933894832,0.9725416326387742,0.4342303251530736,"{""alpha"": 1.0}",42
Ridge,test,1.1797069169067955,0.919882543957098,0.327291178270344,"{""alpha"": 1.0}",42
SVR,val,1.2792335519649218,1.0436743740599643,0.2623613395789483,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",42
SVR,test,1.1933249849260898,0.947540133124987,0.4029639220968829,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",42
CatBoost,val,1.1744321634611403,0.9398522958319996,0.4821534801451869,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",42
CatBoost,test,1.1946323525527909,0.9535088978182036,0.3092696924573185,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",42
MeanPredictor,val,1.193038336840466,1.015377053579582,0.0,"{""mean_value"": 4.073465432205669}",52
MeanPredictor,test,1.303368080603433,1.072998449682688,0.0,"{""mean_value"": 4.073465432205669}",52
Ridge,val,1.1942903511130123,0.9720554622438404,0.2637587591629155,"{""alpha"": 1.0}",52
Ridge,test,1.1189716043275226,0.8776150626499684,0.5375698777954357,"{""alpha"": 1.0}",52
SVR,val,1.1943950533011265,1.0034816296509903,0.2859967281775799,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",52
SVR,test,1.1494595076256424,0.9095690385564827,0.442930004439248,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",52
CatBoost,val,1.2577063287811845,1.0422733753010471,0.1819629250609832,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",52
CatBoost,test,1.1587050791554372,0.8789530341007556,0.3745877331637314,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",52
MeanPredictor,val,1.046811750099829,0.8273581428562722,0.0,"{""mean_value"": 4.070099444740661}",62
MeanPredictor,test,1.1632771185479185,0.9477667464887392,0.0,"{""mean_value"": 4.070099444740661}",62
Ridge,val,1.0614395272696633,0.811289623740933,0.2634788162012832,"{""alpha"": 1.0}",62
Ridge,test,1.0960783013327906,0.8841856791046366,0.3253169098376037,"{""alpha"": 1.0}",62
SVR,val,1.0621570988946916,0.7906400462278883,0.3497887305595361,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",62
SVR,test,1.1007040223623168,0.8929006617866954,0.3042158399046101,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",62
CatBoost,val,0.972227490924476,0.7547811033798398,0.3901879992100948,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",62
CatBoost,test,1.0604759010673417,0.8048833729935753,0.4009378254681164,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",62
